,track_name,song_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0,2K,33xMbeHzmWd6Od0BmLZEUs,Nosaj Thing,0IVapwlnM3dEOiMsHXsghT,0.31,0.445,7,-13.355,0,0.0863,0.094,0.0678,0.113,0.122,95.36,spotify:track:33xMbeHzmWd6Od0BmLZEUs,https://api.spotify.com/v1/tracks/33xMbeHzmWd6Od0BmLZEUs,https://api.spotify.com/v1/audio-analysis/33xMbeHzmWd6Od0BmLZEUs,152560,3,3
1,4 Billion Souls,3UnyplmZaq547hwsfOR5yy,The Doors,22WZ7M8sxp5THdruNY3gXt,0.419,0.565,5,-11.565,1,0.0347,0.137,0.337,0.128,0.648,151.277,spotify:track:3UnyplmZaq547hwsfOR5yy,https://api.spotify.com/v1/tracks/3UnyplmZaq547hwsfOR5yy,https://api.spotify.com/v1/audio-analysis/3UnyplmZaq547hwsfOR5yy,197707,4,8
2,4 Minute Warning,1w8QCSDH4QobcQeT4uMKLm,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,0.354,0.302,9,-13.078,1,0.0326,0.59,0.0709,0.111,0.223,123.753,spotify:track:1w8QCSDH4QobcQeT4uMKLm,https://api.spotify.com/v1/tracks/1w8QCSDH4QobcQeT4uMKLm,https://api.spotify.com/v1/audio-analysis/1w8QCSDH4QobcQeT4uMKLm,244285,4,7
3,7 Element,7J9mBHG4J2eIfDAv5BehKA,Vitas,0UK6JkgUMa28b4t8eCtg6P,0.727,0.785,5,-6.707,0,0.0603,0.325,0.126,0.31,0.96,129.649,spotify:track:7J9mBHG4J2eIfDAv5BehKA,https://api.spotify.com/v1/tracks/7J9mBHG4J2eIfDAv5BehKA,https://api.spotify.com/v1/audio-analysis/7J9mBHG4J2eIfDAv5BehKA,249940,4,1
4,#9 Dream,1VZedwJj1gyi88WFRhfThb,R.E.M.,4KWTAlx2RvbpseOGMEmROg,0.571,0.724,0,-5.967,1,0.026,0.0231,0.00311,0.0919,0.385,116.755,spotify:track:1VZedwJj1gyi88WFRhfThb,https://api.spotify.com/v1/tracks/1VZedwJj1gyi88WFRhfThb,https://api.spotify.com/v1/audio-analysis/1VZedwJj1gyi88WFRhfThb,278320,4,0
5,#9 Dream,3DSmOF7ETJHAQEqqgoSJao,a-ha,2jzc5TC5TVFLXQlBNiIUzE,0.579,0.777,4,-7.505,1,0.0304,0.0177,0.000248,0.422,0.481,109.994,spotify:track:3DSmOF7ETJHAQEqqgoSJao,https://api.spotify.com/v1/tracks/3DSmOF7ETJHAQEqqgoSJao,https://api.spotify.com/v1/audio-analysis/3DSmOF7ETJHAQEqqgoSJao,247067,4,0
6,10 Lovers,5HPnumlogzZtpLEaORZjz1,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,0.606,0.638,3,-6.994,0,0.0339,0.0434,0.000247,0.0887,0.817,97.992,spotify:track:5HPnumlogzZtpLEaORZjz1,https://api.spotify.com/v1/tracks/5HPnumlogzZtpLEaORZjz1,https://api.spotify.com/v1/audio-analysis/5HPnumlogzZtpLEaORZjz1,213227,4,1
7,11th Dimension,6i99ThziImjuFABb8rUQvy,Julian Casablancas,1rAv1GhTQ2rmG94p9lU3rB,0.574,0.925,6,-2.766,0,0.0463,0.00164,0.0243,0.115,0.369,125.501,spotify:track:6i99ThziImjuFABb8rUQvy,https://api.spotify.com/v1/tracks/6i99ThziImjuFABb8rUQvy,https://api.spotify.com/v1/audio-analysis/6i99ThziImjuFABb8rUQvy,243333,4,1
8,12:51,0nkLI0pdyTRpq7BsTFBufZ,The Strokes,0epOFNiUfyON9EYx7Tpr6V,0.452,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.591,145.056,spotify:track:0nkLI0pdyTRpq7BsTFBufZ,https://api.spotify.com/v1/tracks/0nkLI0pdyTRpq7BsTFBufZ,https://api.spotify.com/v1/audio-analysis/0nkLI0pdyTRpq7BsTFBufZ,153133,4,4
9,12:51,6Yu1OL8I0D4vjOzYdsXYGK,The Strokes,0epOFNiUfyON9EYx7Tpr6V,0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/tracks/6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/audio-analysis/6Yu1OL8I0D4vjOzYdsXYGK,153133,4,4
10,12 Bar Original - Anthology 2 Version,2HvTGx5fzFGpHSyRNvXd9T,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0.6,0.535,9,-8.178,1,0.0298,0.00154,0.102,0.123,0.566,122.678,spotify:track:2HvTGx5fzFGpHSyRNvXd9T,https://api.spotify.com/v1/tracks/2HvTGx5fzFGpHSyRNvXd9T,https://api.spotify.com/v1/audio-analysis/2HvTGx5fzFGpHSyRNvXd9T,175080,4,0
