,title,artist
0,Margaritaville,Jimmy Buffett
1,Come Monday,Jimmy Buffett
2,Rich Men North of Richmond,Oliver Anthony Music
3,All Star,Smash Mouth
4,Cheeseburger In Paradise,Jimmy Buffett
5,"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett
6,I Remember Everything (feat. Kacey Musgraves),Zach Bryan
7,Paint The Town Red,Doja Cat
8,A Pirate Looks at Forty,Jimmy Buffett
9,It's Five O'Clock Somewhere (Live),Jimmy Buffett
10,Dream Weaver,Gary Wright
11,Fast Car,Luke Combs
12,Lil Boo Thang,Paul Russell
13,Last Time I Saw You,Nicki Minaj
14,Son of a Son of a Sailor,Jimmy Buffett
15,Used To Be Young,Miley Cyrus
16,Cruel Summer,Taylor Swift
17,Walkin' On the Sun,Smash Mouth
18,Last Night,Morgan Wallen
19,Need A Favor,Jelly Roll
20,I Want to go Home,Oliver Anthony Music
21,I'm a Believer,Smash Mouth
22,Try That In A Small Town,Jason Aldean
23,Fins,Jimmy Buffett
24,Dance The Night,Dua Lipa
25,White Horse,Chris Stapleton
26,Walkin' on the Sun,Smash Mouth
27,All Star,Smash Mouth
28,Love Is Alive,Gary Wright
29,Watermelon Moonshine,Lainey Wilson
30,90 some Chevy,Oliver Anthony Music
31,Thinkin’ Bout Me,Morgan Wallen
32,Southern Cross (Live),Jimmy Buffett
33,Save Me (with Lainey Wilson),Jelly Roll
34,Walkin' On the Sun,Smash Mouth
35,It's Five O'Clock Somewhere (with Jimmy Buffett),Alan Jackson
36,Aint Gotta Dollar,Oliver Anthony Music
37,Rockstar,Nickelback
38,Flowers,Miley Cyrus
39,Why Don't We Get Drunk,Jimmy Buffett
40,Religiously,Bailey Zimmerman
41,Brown Eyed Girl (Live),Jimmy Buffett
42,Used To Be Young,Miley Cyrus
43,Volcano,Jimmy Buffett
44,Dreams,Fleetwood Mac
45,vampire,Olivia Rodrigo
46,Indiana Jones,Wayland
47,Calm Down,Rema & Selena Gomez
48,Lose Control,Teddy Swims
49,Keep Going Up,"Timbaland, Nelly Furtado & Justin Timberlake"
50,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
51,Let My Heart Stop Missing Now,Radiant Melodies
52,Latinos For Trump,Trump Latinos
53,Trip Around the Sun,Jimmy Buffett & Martina McBride
54,Southern Cross,"Crosby, Stills & Nash"
55,A Symptom Of Being Human,Shinedown
56,Have You Ever Seen the Rain,Creedence Clearwater Revival
57,Beat You There,Will Dempsey
58,How You Remind Me,Nickelback
59,I'm a Believer (Radio),Smash Mouth
60,Forever Young,Rod Stewart
61,Son Of A Sinner,Jelly Roll
62,He Went to Paris,Jimmy Buffett
63,Love You Anyway,Luke Combs
64,Far Away,Nickelback
65,Single Soon,Selena Gomez
66,Whiteboyz,Tom MacDonald & Adam Calhoun
67,Knee Deep (feat. Jimmy Buffett) [Greatest Hits Version],Zac Brown Band
68,Come Monday,Jimmy Buffett
69,Photograph,Nickelback
70,TRUCK BED,HARDY
71,Brown Eyed Girl,Jimmy Buffett
72,"Suddenly, One Day, There Is a Pink Love That Brings Good News",Vy Napi
73,In Your Love,Tyler Childers
74,One Particular Harbour,Jimmy Buffett
75,Ive Got to Get Sober,Oliver Anthony Music
76,Bury Me in Georgia (Single Edit),Kane Brown
77,The One Who Brought the Dreams Away,Radiant Melodies
78,Anti-Hero,Taylor Swift
79,Enter Sandman,Metallica
80,Something in the Orange (Z&E's Version),Zach Bryan
81,We Didn’t Start The Fire,Fall Out Boy
82,Hard to Say I'm Sorry / Get Away,Chicago
83,I Want To Go Home (live),Oliver Anthony Music
84,I'll Stand By You,Pretenders
85,Tennessee Whiskey,Chris Stapleton
86,Vertigo,Griff
87,Gypsy,Fleetwood Mac
88,Daylight,David Kushner
89,Rhiannon,Fleetwood Mac
90,Everything I Love,Morgan Wallen
91,Barbie World (with Aqua),Nicki Minaj & Ice Spice
92,Can't Get Enough of You Baby,Smash Mouth
93,You're the Inspiration,Chicago
94,Bring Me to Life,Evanescence
95,Thought You Should Know,Morgan Wallen
96,Dial Drunk,Noah Kahan & Post Malone
97,bad idea right?,Olivia Rodrigo
98,august,Taylor Swift
99,Unstoppable,Sia
